season,game_type,player_id,player_name,last_name,team_abbrev,position,shoots,gp,goals,assists,points,points_per_game,plus_minus,pim,shots,shooting_pct,toi_per_game,ev_goals,ev_points,pp_goals,pp_points,sh_goals,sh_points,ot_goals,gw_goals,fo_win_pct
2016,2,8478396,Noah Hanifin,Hanifin,CAR,D,L,79,4,18,22,0.27848,-14,22,122,0.03278,1074.2405,3,15,1,7,0,0,0,0,NA
2016,2,8470750,John Mitchell,Mitchell,COL,C,L,71,10,11,21,0.29577,-7,52,101,0.099,914.7464,10,20,0,1,0,0,1,3,0.48881
2016,2,8470852,Matt Moulson,Moulson,BUF,L,L,81,8,13,21,0.25925,-5,16,111,0.07207,714.1851,6,14,2,7,0,0,0,1,0
2016,2,8476822,Luke Glendening,Glendening,DET,C,R,81,8,13,21,0.25925,4,46,88,0.0909,874.6666,8,21,0,0,0,0,0,3,0.54577
2016,2,8475788,Alexander Burmistrov,Burmistrov,WPG,C,L,81,7,14,21,0.25925,-11,32,102,0.06862,970.358,7,19,0,1,0,1,0,2,0.40039
2016,2,8476872,Scott Laughton,Laughton,PHI,C,L,71,7,14,21,0.29577,-2,34,85,0.08235,626.0281,7,21,0,0,0,0,0,0,0.43814
2016,2,8468639,John-Michael Liles,Liles,"CAR,BOS",D,L,81,6,15,21,0.25925,-10,18,111,0.05405,1218.2222,4,17,1,3,1,1,0,1,NA
2016,2,8476885,Jacob Trouba,Trouba,WPG,D,R,81,6,15,21,0.25925,10,62,133,0.04511,1323.9876,5,15,0,4,1,2,0,0,0
2016,2,8474612,Travis Hamonic,Hamonic,NYI,D,R,72,5,16,21,0.29166,-5,35,147,0.03401,1429.4166,4,20,0,0,1,1,0,1,NA
2016,2,8474618,Marco Scandella,Scandella,MIN,D,L,73,5,16,21,0.28767,6,22,126,0.03968,1242,3,17,2,3,0,1,0,0,NA
2016,2,8469665,Johnny Oduya,Oduya,DAL,D,L,82,4,17,21,0.25609,8,26,63,0.06349,1222.6463,3,19,0,0,1,2,0,0,NA
2016,2,8473991,Karl Alzner,Alzner,WSH,D,L,82,4,17,21,0.25609,14,26,75,0.05333,1282.5,4,21,0,0,0,0,0,1,NA
2016,2,8477205,Andrej Sustr,Sustr,TBL,D,R,77,4,17,21,0.27272,-2,30,65,0.06153,1010.1818,4,21,0,0,0,0,0,1,NA
2016,2,8476923,Damon Severson,Severson,NJD,D,R,72,1,20,21,0.29166,-8,32,94,0.01063,1089.8888,1,16,0,5,0,0,0,0,NA
2016,2,8470619,Brian Boyle,Boyle,TBL,C,L,76,13,7,20,0.26315,-7,57,117,0.11111,774.6184,9,15,2,3,2,2,0,4,0.50733
2016,2,8473537,Viktor Stalberg,Stalberg,NYR,L,L,75,9,11,20,0.26666,6,22,125,0.072,732.1866,9,20,0,0,0,0,0,0,0.33333
2016,2,8476448,William Karlsson,Karlsson,CBJ,C,L,81,9,11,20,0.24691,-9,6,108,0.08333,868.1975,9,20,0,0,0,0,0,1,0.45664
2016,2,8473485,Chris Stewart,Stewart,ANA,R,R,56,8,12,20,0.35714,2,73,78,0.10256,647.6964,7,15,1,5,0,0,0,1,0.33333
2016,2,8477215,Danny DeKeyser,DeKeyser,DET,D,L,78,8,12,20,0.25641,2,44,72,0.11111,1308.2692,8,20,0,0,0,0,1,3,NA
2016,2,8476919,Chris Tierney,Tierney,SJS,C,L,79,7,13,20,0.25316,-16,20,96,0.07291,791.5316,5,18,1,1,1,1,0,2,0.45714
