"game_id","event_idx","situation_code","for_team_id","against_team_id","for_players","against_players","for_team_abbrev","against_team_abbrev"
"2010020002",58,"1551","5","4","8467964;8468674;8470594;8471215;8471274;8471675","8458637;8462535;8470601;8473512;8473932;8475683","PIT","PHI"
"2010020002",59,"1551","5","4","8467964;8468674;8470594;8471215;8471274;8471675","8458637;8462535;8470601;8473512;8473932;8475683","PIT","PHI"
"2010020002",60,"1551","5","4","8467964;8468674;8470594;8471215;8471274;8471675","8458637;8462535;8470601;8473512;8473932;8475683","PIT","PHI"
"2010020002",64,"1551","4","5","8459670;8470597;8470601;8473512;8474037;8475683","8466393;8468498;8469760;8470543;8470594;8471675","PHI","PIT"
"2010020002",65,"1551","5","4","8466393;8468542;8470543;8470594;8471675;8471724","8459670;8470597;8470601;8473512;8474037;8475683","PIT","PHI"
"2010020002",67,"1551","5","4","8468542;8470543;8470594;8471215;8471675;8471724","8459670;8470597;8470617;8471236;8474037;8475683","PIT","PHI"
"2010020002",69,"1551","4","5","8459670;8470597;8470601;8473512;8474037;8475683","8466393;8468498;8469760;8470543;8470594;8471675","PHI","PIT"
"2010020002",72,"1551","5","4","8467964;8468498;8469760;8470594;8471215;8474025","8470604;8470617;8470640;8470666;8471236;8475683","PIT","PHI"
"2010020002",78,"1551","5","4","8465166;8467336;8468542;8470171;8470594;8471724","8459670;8464975;8468486;8471756;8474551;8475683","PIT","PHI"
"2010020002",80,"1551","5","4","8465166;8467336;8468542;8470171;8470594;8471724","8459670;8464975;8468486;8471756;8474551;8475683","PIT","PHI"
"2010020002",91,"1541","4","5","8468486;8470597;8470640;8471236;8473512;8475683","8466393;8467336;8468542;8470594;8471724","PHI","PIT"
"2010020002",93,"1551","5","4","8465951;8467964;8468674;8470594;8471215;8471274","8458637;8470597;8470601;8473512;8474037;8475683","PIT","PHI"
"2010020002",94,"1551","5","4","8465951;8467964;8468674;8470594;8471215;8471274","8458637;8470597;8470601;8473512;8474037;8475683","PIT","PHI"
"2010020002",99,"1551","5","4","8468498;8469760;8470543;8470594;8471311;8471675","8459670;8467361;8470666;8471236;8473932;8475683","PIT","PHI"
"2010020002",101,"1551","5","4","8468498;8469760;8470543;8470594;8471311;8471675","8470617;8470666;8471236;8471756;8473932;8475683","PIT","PHI"
"2010020002",103,"1551","5","4","8466393;8468498;8469760;8470594;8473914;8474025","8458637;8470604;8470617;8471756;8473512;8475683","PIT","PHI"
"2010020002",105,"1551","5","4","8466393;8468498;8469760;8470594;8473914;8474025","8458637;8470604;8470617;8471756;8473512;8475683","PIT","PHI"
"2010020002",108,"1551","5","4","8466393;8468498;8469760;8470594;8473914;8474025","8458637;8470604;8470617;8471756;8473512;8475683","PIT","PHI"
"2010020002",111,"1451","5","4","8467964;8470543;8470594;8471215;8471274;8471675","8459670;8467361;8470601;8473932;8475683","PIT","PHI"
"2010020002",112,"1451","5","4","8467964;8470543;8470594;8471215;8471274;8471675","8459670;8467361;8470601;8473932;8475683","PIT","PHI"
"2010020002",113,"1451","5","4","8467964;8470543;8470594;8471215;8471274;8471675","8459670;8467361;8470601;8473932;8475683","PIT","PHI"
"2010020002",117,"1451","5","4","8465951;8467336;8468542;8470594;8471724;8473914","8470617;8470640;8471236;8473512;8475683","PIT","PHI"
"2010020002",128,"1551","4","5","8459670;8470601;8470604;8470617;8470666;8475683","8468498;8469760;8470543;8470594;8471215;8471675","PHI","PIT"
"2010020002",131,"1551","4","5","8464975;8468486;8470640;8471236;8474551;8475683","8465951;8468542;8470594;8471311;8471724;8473914","PHI","PIT"
"2010020002",137,"1551","5","4","8467964;8468674;8470594;8471215;8471274;8474025","8458637;8464975;8470597;8471756;8474037;8475683","PIT","PHI"
"2010020002",143,"1551","4","5","8458637;8470597;8471756;8473512;8474037;8475683","8467964;8468674;8470594;8471215;8471274;8474025","PHI","PIT"
"2010020002",146,"1541","4","5","8459670;8464975;8470604;8470617;8474551;8475683","8466393;8468498;8469760;8470171;8470594","PHI","PIT"
"2010020002",150,"1451","5","4","8467964;8470594;8471215;8471274;8471675;8474025","8459670;8470617;8470640;8473512;8475683","PIT","PHI"
"2010020002",151,"1451","5","4","8467964;8470594;8471215;8471274;8471675;8474025","8458637;8467361;8470640;8473932;8475683","PIT","PHI"
"2010020002",153,"1451","5","4","8467964;8470594;8471215;8471274;8471675;8474025","8458637;8467361;8470640;8473932;8475683","PIT","PHI"
"2010020002",154,"1551","5","4","8467964;8468542;8470594;8471215;8471675;8474025","8458637;8462535;8467361;8470640;8473932;8475683","PIT","PHI"
"2010020002",158,"1551","5","4","8465951;8468542;8470594;8471311;8471724;8473914","8458637;8462535;8467361;8470640;8473932;8475683","PIT","PHI"
"2010020002",160,"1551","4","5","8464975;8468486;8470601;8471236;8474551;8475683","8465951;8468542;8470594;8471311;8471724;8473914","PHI","PIT"
"2010020002",165,"1551","4","5","8459670;8470597;8471756;8473512;8474037;8475683","8465166;8467336;8468498;8469760;8470171;8470594","PHI","PIT"
"2010020002",167,"1551","4","5","8470597;8470640;8471236;8473512;8474037;8475683","8465166;8467336;8468498;8469760;8470594;8471675","PHI","PIT"
"2010020002",168,"1551","4","5","8470597;8470640;8471236;8473512;8474037;8475683","8465166;8467336;8468498;8469760;8470594;8471675","PHI","PIT"
"2010020002",169,"1551","4","5","8470597;8470640;8471236;8473512;8474037;8475683","8465166;8467336;8468498;8469760;8470594;8471675","PHI","PIT"
"2010020002",170,"1551","4","5","8470597;8470640;8471236;8473512;8474037;8475683","8465166;8467336;8468498;8469760;8470594;8471675","PHI","PIT"
"2010020002",172,"1551","4","5","8458637;8464975;8468486;8470601;8474551;8475683","8466393;8468674;8470543;8470594;8471274;8471675","PHI","PIT"
"2010020002",173,"1551","5","4","8467964;8468542;8470594;8471215;8471724;8474025","8459670;8462535;8467361;8470601;8474551;8475683","PIT","PHI"
