season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2026,2,59,UTA,Low Slot,111,582,0.1907
2026,2,59,UTA,Offensive Neutral Zone,4,42,0.0952
2026,2,59,UTA,Outside L,11,138,0.0797
2026,2,59,UTA,Outside R,9,129,0.0698
2026,2,59,UTA,R Circle,26,219,0.1187
2026,2,59,UTA,R Corner,0,2,0
2026,2,59,UTA,R Net Side,5,43,0.1163
2026,2,59,UTA,R Point,4,151,0.0265
2026,2,17,DET,Behind the Net,1,19,0.0526
2026,2,17,DET,Beyond Red Line,6,49,0.1224
2026,2,17,DET,Center Point,9,179,0.0503
2026,2,17,DET,Crease,22,79,0.2785
2026,2,17,DET,High Slot,27,211,0.128
2026,2,17,DET,L Circle,20,230,0.087
2026,2,17,DET,L Corner,0,2,0
2026,2,17,DET,L Net Side,7,67,0.1045
2026,2,17,DET,L Point,7,167,0.0419
2026,2,17,DET,Low Slot,104,606,0.1716
2026,2,17,DET,Offensive Neutral Zone,6,66,0.0909
2026,2,17,DET,Outside L,3,126,0.0238
2026,2,17,DET,Outside R,1,112,0.0089
2026,2,17,DET,R Circle,20,193,0.1036
2026,2,17,DET,R Corner,0,7,0
2026,2,17,DET,R Net Side,2,41,0.0488
2026,2,17,DET,R Point,4,162,0.0247
2026,2,29,CBJ,Behind the Net,0,22,0
2026,2,29,CBJ,Beyond Red Line,5,56,0.0893
2026,2,29,CBJ,Center Point,16,158,0.1013
2026,2,29,CBJ,Crease,16,79,0.2025
2026,2,29,CBJ,High Slot,29,218,0.133
2026,2,29,CBJ,L Circle,26,256,0.1016
2026,2,29,CBJ,L Corner,0,5,0
2026,2,29,CBJ,L Net Side,2,69,0.029
2026,2,29,CBJ,L Point,5,182,0.0275
2026,2,29,CBJ,Low Slot,100,553,0.1808
2026,2,29,CBJ,Offensive Neutral Zone,2,68,0.0294
2026,2,29,CBJ,Outside L,4,180,0.0222
2026,2,29,CBJ,Outside R,6,123,0.0488
2026,2,29,CBJ,R Circle,29,239,0.1213
