"category","pos_group","age_int","mean_delta","n","curve_value"
"offence_xg","Forwards",18,-0.0135582955219707,31,0.00415764802896891
"offence_xg","Forwards",19,0.00443084732516958,84,0.00858849535413849
"offence_xg","Forwards",20,0.000827508879122414,141,0.00941600423326091
"offence_xg","Forwards",21,0.00112469451372475,217,0.0105406987469857
"offence_xg","Forwards",22,0.0098154548368991,310,0.0203561535838848
"offence_xg","Forwards",23,-0.00505799075166675,382,0.015298162832218
"offence_xg","Forwards",24,-0.00258825777323939,400,0.0127099050589786
"offence_xg","Forwards",25,-0.00320678049340362,401,0.00950312456557499
"offence_xg","Forwards",26,-0.00571463604736424,396,0.00378848851821076
"offence_xg","Forwards",27,-0.00378848851821076,377,0
"offence_xg","Forwards",28,-0.000110778309917183,343,-0.000110778309917183
"offence_xg","Forwards",29,-0.00766029277467805,284,-0.00777107108459523
"offence_xg","Forwards",30,-0.0106877914766481,264,-0.0184588625612433
"offence_xg","Forwards",31,0.00253273130801133,211,-0.015926131253232
"offence_xg","Forwards",32,-0.0158483388783597,157,-0.0317744701315917
"offence_xg","Forwards",33,-9.89495745467852e-05,125,-0.0318734197061385
"offence_xg","Forwards",34,-0.0119113189325014,95,-0.0437847386386399
"offence_xg","Forwards",35,0.0063526175198083,69,-0.0374321211188316
"offence_xg","Forwards",36,-0.0161312895095051,37,-0.0535634106283368
"offence_xg","Forwards",37,-0.0114993522776557,25,-0.0650627629059924
"offence_xg","Forwards",38,-0.0154222341543539,14,-0.0804849970603463
"offence_xg","Forwards",39,0.000438971602383456,6,-0.0800460254579629
"offence_xg","Forwards",40,-0.0164864526068954,6,-0.0965324780648583
"offence_xg","Forwards",41,-0.069540670360341,2,-0.166073148425199
"offence_xg","Forwards",42,0.0531004939663268,2,-0.112972654458872
"offence_xg","Forwards",43,0.000106656535564104,1,-0.112865997923308
"pk","Defensemen",18,-0.16006399096125,1,-0.03548425565496
"pk","Defensemen",19,0.0447963141793453,15,0.00931205852438531
"pk","Defensemen",20,0.0285106905245233,34,0.0378227490489086
"pk","Defensemen",21,-0.0227389490807798,66,0.0150837999681288
"pk","Defensemen",22,0.0035113593821131,101,0.0185951593502419
"pk","Defensemen",23,0.00176004318220625,124,0.0203552025324482
"pk","Defensemen",24,-0.00162362013879492,137,0.0187315823936532
"pk","Defensemen",25,-0.00821075380418166,145,0.0105208285894716
"pk","Defensemen",26,-0.000361399519485613,163,0.010159429069986
"pk","Defensemen",27,-0.010159429069986,161,0
"pk","Defensemen",28,0.00794641420200697,145,0.00794641420200698
"pk","Defensemen",29,-0.0189357574014431,138,-0.0109893431994361
"pk","Defensemen",30,0.00132582581817508,118,-0.00966351738126105
"pk","Defensemen",31,-0.00669620735225593,101,-0.016359724733517
"pk","Defensemen",32,0.00435166505000765,91,-0.0120080596835093
"pk","Defensemen",33,0.00959876533356579,71,-0.00240929434994354
"pk","Defensemen",34,-0.00338787525954341,46,-0.00579716960948695
"pk","Defensemen",35,-0.0235105369338651,34,-0.0293077065433521
"pk","Defensemen",36,0.0548299885854958,21,0.0255222820421438
"pk","Defensemen",37,-0.010696879303521,13,0.0148254027386227
"pk","Defensemen",38,0.0105288105521576,7,0.0253542132907804
"pk","Defensemen",39,-0.00938737423701834,1,0.015966839053762
"pk","Defensemen",40,0.0223388946949007,2,0.0383057337486627
"pk","Defensemen",41,-0.178031493494376,1,-0.139725759745713
"pk","Defensemen",42,0.00559906088455064,1,-0.134126698861162
"pk","Defensemen",43,0.133830658032155,1,-0.000296040829006784
"pk","Forwards",18,0.0770264329835543,4,0.0217535012537376
"pk","Forwards",19,-0.0193425539647753,10,0.00241094728896226
"pk","Forwards",20,-0.033390342271351,27,-0.0309793949823888
"pk","Forwards",21,0.0397287409785175,49,0.00874934599612875
"pk","Forwards",22,-0.013209690137467,82,-0.00446034414133823
"pk","Forwards",23,0.0142314574967153,127,0.00977111335537705
"pk","Forwards",24,-0.00305905041027718,155,0.00671206294509988
"pk","Forwards",25,0.0180600313227115,185,0.0247720942678114
