season,game_type,player_id,first_name,last_name,position,team_abbrev,gp,goals,assists,points,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_attempts_70_80,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,dist_total_mi,dist_per60_mi,dist_max_game_mi,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,oz_starts_pct,nz_starts_pct,dz_starts_pct
2022,2,8477505,Alexander,Wennberg,C,SEA,80,11,26,37,91.21,50.3064,0,1,13,40,22.363,3,82,513,221.3738,9.3004,3.7048,0.43471155,0.17696649,0.38832196,0.42152359,0.39747855,0.3124,0.333,0.3545
2022,2,8477986,Brandon,Montour,D,FLA,81,11,26,37,99.11,66.7632,0,14,47,111,23.082,2,74,415,222.4401,9.2054,3.8819,0.44708005,0.19168633,0.36123362,0.41884322,0.4000729,0.4251,0.3673,0.2076
2022,2,8478055,Gustav,Forsling,D,FLA,71,10,27,37,99.34,70.8279,0,30,55,97,22.647,3,101,450,216.5723,8.6234,3.7006,0.42884354,0.19520702,0.37594944,0.41884322,0.4000729,0.2908,0.3707,0.3385
2022,2,8479514,Rem,Pitlick,C,MTL,66,15,22,37,85.47,45.6178,0,0,3,16,22.741,9,149,606,163.1594,9.8998,3.8592,0.38126216,0.18420789,0.43452995,0.42152359,0.39747855,0.2906,0.3597,0.3496
2022,2,8480113,Alex,Iafallo,L,LAK,79,17,20,37,94.72,54.6276,0,4,26,50,23.109,4,101,412,221.3337,9.0855,3.6286,0.42891889,0.17516772,0.39591339,0.42152359,0.39747855,0.3253,0.3222,0.3525
2022,2,8473533,Jordan,Staal,C,CAR,78,17,19,36,86.18,47.5969,0,0,5,25,22.279,2,129,608,212.1066,9.8099,3.1913,0.45408466,0.18309785,0.36281749,0.42152359,0.39747855,0.3249,0.3738,0.3013
2022,2,8475225,Craig,Smith,C,BOS,74,16,20,36,93.13,57.9697,0,3,20,69,22.19,3,46,377,170.7265,9.5977,3.2663,0.43443163,0.18928482,0.37628355,0.42152359,0.39747855,0.3312,0.3586,0.3102
2022,2,8478401,Pavel,Zacha,C,NJD,70,15,21,36,95.18,60.4227,0,1,52,48,22.669,8,118,529,191.0422,9.7205,3.5796,0.41092356,0.18519874,0.4038777,0.42152359,0.39747855,0.3454,0.3355,0.3191
2022,2,8479344,Jesse,Puljujarvi,R,EDM,65,14,22,36,92.14,47.8372,0,2,20,33,22.661,4,126,559,171.5683,9.7571,3.9102,0.46949751,0.17699228,0.35351021,0.42152359,0.39747855,0.391,0.3525,0.2565
2022,2,8480036,Miro,Heiskanen,D,DAL,70,5,31,36,91,63.9316,0,2,38,96,23.069,7,125,479,243.6263,8.3908,4.2577,0.41865942,0.17821063,0.40312995,0.41884322,0.4000729,0.3368,0.3211,0.3421
2022,2,8480459,Pius,Suter,C,DET,82,15,21,36,86.39,47.421,0,0,9,37,21.369,0,19,294,220.9949,9.5547,3.5163,0.38900926,0.17764117,0.43334957,0.42152359,0.39747855,0.3449,0.3371,0.318
2022,2,8470610,Zach,Parise,L,NYI,82,15,20,35,88.04,45.2104,0,0,3,17,22.084,1,100,560,200.9,9.6178,2.9664,0.40536221,0.18088116,0.41375662,0.42152359,0.39747855,0.3504,0.3396,0.31
2022,2,8470966,Mark,Giordano,D,TOR,75,8,27,35,97.25,68.4041,0,28,58,95,21.492,0,36,227,211.8308,8.1161,3.5485,0.4413038,0.17854933,0.38014687,0.41884322,0.4000729,0.3528,0.3289,0.3183
2022,2,8474031,Kevin,Shattenkirk,D,ANA,82,8,27,35,92,62.0154,0,1,22,95,21.262,0,9,190,239.3929,8.1788,4.0078,0.40644076,0.18125436,0.41230488,0.41884322,0.4000729,0.3246,0.336,0.3394
2022,2,8474578,Erik,Karlsson,D,SJS,50,10,25,35,98.68,68.8273,0,23,54,78,22.582,4,102,267,161.2997,8.247,3.9654,0.42432773,0.18179562,0.39387665,0.41884322,0.4000729,0.3481,0.3283,0.3236
2022,2,8474884,Mike,Hoffman,L,MTL,67,15,20,35,94.07,61.5734,0,7,73,57,22.635,4,78,373,183.39,9.6368,3.4833,0.41257099,0.18832971,0.3990993,0.42152359,0.39747855,0.3051,0.3468,0.348
2022,2,8475200,Dmitry,Orlov,D,WSH,76,12,23,35,101.54,64.1733,1,27,28,71,21.639,0,35,254,219.6884,8.2737,3.7515,0.43072691,0.18522401,0.38404908,0.41884322,0.4000729,0.2854,0.3565,0.3582
2022,2,8476329,Travis,Boyd,C,ARI,74,17,18,35,79.14,44.8799,0,0,0,15,21.39,0,27,392,191.4565,9.4007,3.2882,0.39044252,0.17876195,0.43079553,0.42152359,0.39747855,0.2978,0.3389,0.3633
2022,2,8476448,William,Karlsson,C,VGK,67,12,23,35,93.01,51.5637,0,1,26,48,22.814,5,117,536,196.5753,9.6291,3.7503,0.43420585,0.1863209,0.37947325,0.42152359,0.39747855,0.3702,0.3079,0.322
2022,2,8476892,Colton,Parayko,D,STL,80,6,29,35,101.95,70.3922,5,54,41,38,22.481,4,102,411,263.2845,8.3806,4.212,0.39943187,0.17989074,0.42067739,0.41884322,0.4000729,0.2605,0.3442,0.3953
2022,2,8477341,Andreas,Johnsson,L,NJD,71,13,22,35,80.14,47.9635,0,0,1,22,22.063,1,61,456,164.1158,9.658,3.5385,0.40898165,0.18743965,0.4035787,0.42152359,0.39747855,0.3364,0.3681,0.2955
2022,2,8477498,Darnell,Nurse,D,EDM,71,9,26,35,99.95,67.3119,0,11,71,141,22.389,6,116,439,248.2335,8.3747,4.3766,0.43025229,0.17463755,0.39511016,0.41884322,0.4000729,0.3396,0.3487,0.3116
2022,2,8478115,Pierre,Engvall,L,TOR,78,15,20,35,91.45,57.7557,0,2,43,53,23.036,31,205,671,175.2243,10.1504,3.2236,0.41672159,0.18456502,0.39871339,0.42152359,0.39747855,0.2157,0.3804,0.4039
2022,2,8478407,Vince,Dunn,D,SEA,73,7,28,35,94.68,67.3106,0,6,42,100,21.932,0,32,277,215.0223,8.5478,3.7451,0.4547794,0.17710145,0.36811915,0.41884322,0.4000729,0.3714,0.339,0.2896
2022,2,8475855,Jesper,Fast,R,CAR,82,14,20,34,88.87,46.5865,0,0,5,12,22.013,1,56,354,188.9058,9.3328,2.9028,0.4605301,0.19172787,0.34774203,0.42152359,0.39747855,0.3144,0.3892,0.2964
2022,2,8476871,Tanner,Pearson,L,VAN,68,14,20,34,93.28,57.1196,0,4,29,46,22.187,2,64,419,162.9377,8.9548,3.0407,0.42247074,0.1703048,0.40722446,0.42152359,0.39747855,0.3345,0.3143,0.3512
2022,2,8477947,Sonny,Milano,L,ANA,66,14,20,34,82.45,45.8285,0,0,1,18,22.07,1,100,402,158.5064,9.4316,3.468,0.44515328,0.18459008,0.37025664,0.42152359,0.39747855,0.4638,0.3487,0.1875
2022,2,8478463,Anthony,Beauvillier,L,NYI,75,12,22,34,85.4,53.8404,0,0,13,55,22.011,2,127,542,206.5222,9.8149,3.637,0.41839676,0.18260403,0.39899921,0.42152359,0.39747855,0.3502,0.3456,0.3042
2022,2,8478474,Lawson,Crouse,L,ARI,65,20,14,34,95.23,49.1196,0,1,20,20,23.678,4,99,408,169.8849,8.9971,3.2779,0.39002696,0.17312823,0.43684481,0.42152359,0.39747855,0.2649,0.3801,0.355
2022,2,8480145,Neal,Pionk,D,WPG,77,3,31,34,94.77,66.4615,0,8,53,72,22.382,1,23,226,232.3252,8.5639,3.6613,0.42576651,0.18169767,0.39253583,0.41884322,0.4000729,0.3379,0.3345,0.3276
2022,2,8480797,Joel,Farabee,L,PHI,63,17,17,34,91.05,51.7883,0,1,15,31,21.535,0,83,414,180.0291,9.749,3.5592,0.42309173,0.17950809,0.39740018,0.42152359,0.39747855,0.3434,0.386,0.2706
