"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8477940","WPG",53,787,734,59,50,14,14,0,0,6,0,28,0,3,34.8243385296373,38.3597613800666,6,24,46429,406,5548,51.7,4.57,3.88,2.17,0,3.89,0.7857,0,1.95,2.7,2.974,52383,0.41,1.65,1.24
"8478233","CGY",56,798,680,51,47,15,11,1,0,16,28,37,1,6,38.0509202948015,30.2275296352454,11,11,43473,4718,6011,54,4.22,3.89,2.15,0.76,9.58,0.5676,0.76,3.59,3.151,2.503,54202,0.73,0.73,0
"8478396","CGY",47,812,763,47,61,4,7,0,0,17,17,13,2,2,38.59993635508,34.6734780347324,9,6,49153,2581,2828,51.6,3.44,4.47,0.81,0,21.64,-0.3077,2.79,2.55,2.827,2.54,54562,0.59,0.4,-0.19
"8478397","CGY",56,915,949,62,73,2,11,0,0,20,17,51,0,4,40.7288435009832,48.0434254310676,16,15,56240,4290,7065,49.1,3.97,4.67,0.83,0,10.19,0.6078,0,2.04,2.607,3.075,67595,0.85,0.8,-0.05
"8478398","WPG",64,940,956,70,68,17,18,0,0,14,2,59,0,5,42.640608118556,50.5893498451915,6,9,61736,981,8136,49.6,4.08,3.97,2.04,0,6.19,0.7627,0,2.21,2.486,2.95,70853,0.3,0.46,0.16
"8478585","CGY",43,465,325,35,27,1,11,1,0,13,22,2,1,1,22.4767451703665,13.8204020807752,8,14,24152,4276,1200,58.9,5.22,4.02,1.79,0.84,39,-5.5,0.84,3,3.35,2.06,29628,0.97,1.7,0.73
"8478891","WPG",64,740,813,54,51,11,13,0,1,10,14,11,2,2,30.4724850588536,36.7164955593471,8,12,50262,2836,2536,47.6,3.87,3.65,1.72,1.27,14.2,0.0909,2.54,2.84,2.183,2.63,55634,0.52,0.78,0.26
"8478915","WPG",6,60,89,3,6,0,0,0,0,3,0,1,0,0,2.75853371666744,4.13745689025382,4,1,4378,140,38,40.3,2.47,4.93,0,0,284.21,-2,0,0,2.268,3.402,4556,3.16,0.79,-2.37
"8479314","CGY",56,855,724,60,52,10,15,0,1,10,5,64,1,5,39.0479635019146,35.5873349157919,20,21,49063,1322,7598,54.1,4.4,3.82,1.83,2.72,4.74,0.8438,2.72,2.37,2.865,2.611,57983,1.24,1.3,0.06
"8479339","CBJ",46,562,740,41,70,5,8,0,0,12,2,20,0,1,23.9297208466451,33.539836577489,5,9,40642,1022,4009,43.2,3.63,6.2,1.15,0,10.78,0.4,0,0.9,2.12,2.971,45673,0.39,0.71,0.32
"8479346","CGY",51,617,597,48,38,8,11,1,0,8,6,16,1,2,29.3393814347801,26.782203430339,10,10,36091,1114,3827,50.8,4.79,3.79,1.9,3.23,7.53,0.5,3.23,1.88,2.927,2.671,41032,0.88,0.88,0
"8479976","CGY",49,679,606,43,46,2,8,0,0,14,21,2,1,0,31.2382292953553,27.8726768196502,13,5,39101,4653,702,52.8,3.96,4.24,0.92,0,71.79,-6,0.77,0,2.876,2.566,44456,1.05,0.4,-0.65
"8480145","WPG",62,1064,1079,60,74,1,16,0,0,16,9,34,1,4,47.0191898976336,55.6364850787795,11,14,69538,3306,7734,49.7,3.11,3.83,0.88,0,7.45,0.5294,1.09,1.86,2.434,2.88,80578,0.49,0.63,0.14
"8476913","EDM",39,286,437,30,26,2,5,1,0,4,12,0,2,0,12.5032646894397,17.2782200773945,3,1,23162,2567,488,39.6,4.66,4.04,1.09,1.4,29.51,NA,2.8,0,1.943,2.686,26217,0.41,0.14,-0.27
"8466139","SJS",56,570,624,42,56,2,4,0,0,13,8,15,0,2,28.1608109480294,29.957233018853,5,2,37605,3204,3776,47.7,4.02,5.36,0.57,0,12.39,0.1333,0,1.91,2.696,2.868,44585,0.4,0.16,-0.24
