"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8476455","COL",51,825,641,50,35,9,11,2,4,4,238,6,18,5,28,15,41983,7391,784,56.3,4.29,3,1.71,2.92,18.37,0.3333,8.77,22.96,50158,2.01,1.08,-0.93
"8476469","LAK",44,486,500,25,29,5,7,1,0,2,73,83,8,14,18,8,30341,2376,3331,49.3,2.97,3.44,1.42,1.52,2.16,0.9759,12.12,15.13,36048,1.8,0.8,-1
"8476479","MTL",56,628,693,40,43,3,8,0,0,1,54,219,16,30,17,19,40069,2198,6401,47.5,3.59,3.86,0.99,0,0.56,0.9954,26.21,16.87,48668,1.26,1.41,0.15
"8476879","LAK",55,800,782,47,52,1,2,0,0,1,15,163,14,20,8,0,48723,605,5090,50.6,3.47,3.84,0.22,0,0.71,0.9939,83.31,14.15,54418,0.53,0,-0.53
"8477476","COL",49,865,702,77,40,13,14,1,0,4,156,86,9,12,9,14,42953,5282,3745,55.2,6.45,3.35,2.26,0.68,3.85,0.9535,6.13,11.54,51980,0.62,0.97,0.35
"8477492","COL",63,1334,973,95,54,20,31,10,11,4,484,17,33,16,15,28,64311,11827,1768,57.8,5.32,3.02,2.85,6.39,8.14,0.7647,10.04,32.58,77906,0.69,1.29,0.6
"8477501","COL",58,934,724,69,55,10,20,1,0,7,136,156,12,5,8,18,45706,5640,5166,56.3,5.43,4.33,2.36,0.64,4.88,0.9551,7.66,3.48,56512,0.51,1.15,0.64
"8477942","LAK",29,422,386,19,21,4,2,4,8,1,161,8,15,8,17,18,25264,4383,611,52.2,2.71,2.99,0.85,9.86,5.89,0.875,12.32,47.14,30258,2.02,2.14,0.12
"8477960","LAK",53,755,701,53,33,21,14,2,5,4,285,41,15,15,30,17,46762,7320,2183,51.9,4.08,2.54,2.69,3.44,6.6,0.9024,7.38,24.74,56265,1.92,1.09,-0.83
"8477998","LAK",42,452,477,32,27,6,3,0,0,1,66,53,11,9,9,8,28116,2236,1879,48.7,4.1,3.46,1.15,0,1.92,0.9811,17.71,17.24,32231,1.01,0.89,-0.12
"8478038","COL",59,1304,924,77,68,2,20,1,0,4,131,258,20,17,17,9,63939,6122,7891,58.5,4.34,3.83,1.24,0.59,1.82,0.9845,11.76,7.76,77952,0.79,0.42,-0.37
"8478109","COL",47,558,491,53,38,5,8,1,2,2,149,5,7,5,3,6,31421,4513,286,53.2,6.07,4.35,1.49,2.39,25.17,0.6,5.58,62.94,36220,0.3,0.6,0.3
"8479398","COL",42,797,636,67,42,3,12,0,0,0,15,71,8,17,11,7,41438,813,2665,55.6,5.82,3.65,1.3,0,0,1,35.42,22.96,44916,0.88,0.56,-0.32
"8479525","COL",55,757,565,64,51,7,7,0,0,1,47,3,9,2,7,15,34872,2276,227,57.3,6.61,5.26,1.45,0,15.86,0.6667,14.24,31.72,37375,0.67,1.44,0.77
"8479675","LAK",50,763,683,47,41,8,10,0,2,4,87,126,13,19,4,6,40847,3279,4615,52.8,4.14,3.61,1.59,2.2,3.12,0.9683,14.27,14.82,48741,0.3,0.44,0.14
"8479998","LAK",52,918,886,49,51,3,11,0,0,2,15,190,6,36,11,17,55199,799,5847,50.9,3.2,3.33,0.91,0,1.23,0.9895,27.03,22.17,61845,0.64,0.99,0.35
