season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2025,2,8479292,Charlie Lindgren,Lindgren,WSH,R,39,38,20,14,3,NA,104,2.72846,883,985,0.89644,1,137220,0,0,0,0
2025,2,8481519,Spencer Knight,Knight,"FLA,CHI",L,38,36,17,16,3,NA,100,2.72374,912,1011,0.90207,2,132171,0,2,2,0
2025,2,8477465,Tristan Jarry,Jarry,PIT,L,36,35,16,12,6,NA,105,3.11896,867,971,0.89289,2,121194,0,1,1,2
2025,2,8478492,Ilya Samsonov,Samsonov,VGK,L,29,29,16,9,4,NA,82,2.81889,670,752,0.89095,2,104722,0,1,1,4
2025,2,8479496,David Rittich,Rittich,LAK,L,34,31,16,14,2,NA,88,2.83799,684,771,0.88715,0,111628,0,0,0,2
2025,2,8480981,Joel Hofer,Hofer,STL,L,31,28,16,8,3,NA,74,2.64471,693,767,0.90352,1,100729,0,1,1,2
2025,2,8480382,Alexandar Georgiev,Georgiev,"COL,SJS",L,49,47,15,26,4,NA,165,3.70536,1152,1317,0.87471,0,160308,0,1,1,0
2025,2,8481020,Justus Annunen,Annunen,"COL,NSH",L,34,29,15,15,1,NA,95,3.18468,719,814,0.88329,0,107389,0,0,0,0
2025,2,8470594,Marc-Andre Fleury,Fleury,MIN,L,26,22,14,9,1,NA,68,2.93468,602,670,0.8985,1,83416,0,0,0,2
2025,2,8475809,Scott Wedgewood,Wedgewood,"NSH,COL",L,24,22,14,6,2,NA,53,2.31595,525,578,0.9083,2,82385,0,0,0,0
2025,2,8477968,Alex Nedeljkovic,Nedeljkovic,PIT,L,38,35,14,15,5,NA,112,3.12434,942,1054,0.89373,1,129051,1,2,3,2
2025,2,8479193,Casey DeSmith,DeSmith,DAL,L,27,24,14,8,2,NA,65,2.59222,696,761,0.91458,2,90270,0,1,1,2
2025,2,8479312,Alex Lyon,Lyon,DET,L,30,26,14,9,1,NA,73,2.80835,632,705,0.89645,1,93578,0,0,0,2
2025,2,8474596,Jake Allen,Allen,NJD,L,31,29,13,16,1,NA,77,2.65797,744,819,0.90842,4,104290,0,0,0,0
2025,2,8475883,Frederik Andersen,Andersen,CAR,L,22,22,13,8,1,NA,55,2.50091,491,546,0.89926,1,79171,0,1,1,0
2025,2,8475852,Petr Mrazek,Mrazek,"CHI,DET",L,38,38,12,21,2,NA,116,3.34596,950,1066,0.89118,1,124807,0,0,0,0
2025,2,8478435,Dan Vladar,Vladar,CGY,L,30,29,12,11,6,NA,83,2.79612,727,810,0.89753,2,106862,0,1,1,2
2025,2,8471734,Jonathan Quick,Quick,NYR,L,24,20,11,7,2,NA,70,3.16817,587,657,0.89345,3,79541,0,1,1,2
2025,2,8476341,Anton Forsberg,Forsberg,OTT,L,30,27,11,12,3,NA,76,2.71989,692,768,0.90104,3,100592,0,0,0,0
